xl,xr,yl,yr,zl,zr
-0.947435897,-0.980192308,0.175213675,0.146132479,0.14267094,-0.113760684
-0.947542735,-0.980149573,0.175149573,0.146153846,0.142649573,-0.113696581
-0.947521368,-0.980064103,0.175128205,0.145982906,0.142606838,-0.113696581
-0.947393162,-0.98,0.175128205,0.145790598,0.142564103,-0.113760684
-0.947307692,-0.98,0.175149573,0.145705128,0.142521368,-0.113760684
-0.947264957,-0.979957265,0.175213675,0.145683761,0.142457265,-0.113675214
-0.947350427,-0.979850427,0.175320513,0.145662393,0.14241453,-0.113611111
-0.9475,-0.979807692,0.175384615,0.145619658,0.142393162,-0.113504274
-0.94758547,-0.979935897,0.175363248,0.145555556,0.142307692,-0.113376068
-0.947564103,-0.980021368,0.175277778,0.145512821,0.14224359,-0.113247863
-0.947457265,-0.980021368,0.175235043,0.145448718,0.142179487,-0.113141026
-0.947371795,-0.979978632,0.175235043,0.145299145,0.142115385,-0.113076923
-0.94732906,-0.979935897,0.175213675,0.145128205,0.142094017,-0.112970085
-0.947286325,-0.979871795,0.175192308,0.145042735,0.142136752,-0.112905983
-0.947264957,-0.979807692,0.17525641,0.145021368,0.142200855,-0.11292735
-0.947222222,-0.979764957,0.175299145,0.145021368,0.142286325,-0.112970085
-0.947179487,-0.979700855,0.175299145,0.145,0.142393162,-0.112948718
-0.947264957,-0.979636752,0.175299145,0.144978632,0.142457265,-0.112948718
-0.947307692,-0.97957265,0.175363248,0.144978632,0.142435897,-0.112991453
-0.947264957,-0.979615385,0.175470085,0.145064103,0.142371795,-0.113034188
-0.94724359,-0.979722222,0.175619658,0.145128205,0.142307692,-0.113076923
-0.947307692,-0.979807692,0.175726496,0.14508547,0.142264957,-0.113076923
-0.947371795,-0.979893162,0.175769231,0.145,0.14224359,-0.113012821
-0.947371795,-0.979871795,0.175769231,0.14491453,0.142264957,-0.112970085
-0.94732906,-0.979850427,0.175705128,0.144871795,0.142307692,-0.112991453
-0.947264957,-0.979871795,0.175705128,0.144807692,0.142307692,-0.113055556
-0.947264957,-0.979807692,0.175705128,0.144807692,0.142200855,-0.113162393
-0.947264957,-0.979679487,0.175641026,0.144871795,0.142051282,-0.113290598
-0.947179487,-0.979551282,0.175598291,0.14491453,0.14207265,-0.113418803
